Dataset,Model,ML Accuracy,FOLD-R++ Accuracy,Hybrid Accuracy,ML Precision,FOLD-R++ Precision,Hybrid Precision,ML Recall,FOLD-R++ Recall,Hybrid Recall,ML F1 Score,FOLD-R++ F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-R++ Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-R++ Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-R++ Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-R++ F1 Score Std,Hybrid F1 Score Std
breastw,Random Forest,0.9635714285714286,0.945,0.9557142857142857,0.9388592542965155,0.907444471977821,0.923291296141773,0.9592888822339622,0.9369533250701932,0.9518257740497852,0.9478070973476299,0.9213592450856354,0.9363348550192766,0.025962208711493295,0.02104147723360544,0.023999244130198393,0.0545946197299442,0.046527681744997766,0.0565281380193329,0.043223615266679644,0.025236431878203975,0.03379553633870081,0.03688628506415458,0.02962965712916317,0.03590970187469438
breastw,SVM,0.9521428571428572,0.945,0.9535714285714285,0.9103697775073247,0.907444471977821,0.9153897781655443,0.9548705472907827,0.9369533250701932,0.9526271671011782,0.931122338687912,0.9213592450856354,0.9328305767848534,0.018458140422204092,0.02104147723360544,0.019416079083690595,0.04926241174186589,0.046527681744997766,0.05086199580935403,0.031673193460074744,0.025236431878203975,0.02851386454754211,0.02878170106185597,0.02962965712916317,0.031423334461303375
ecoli,KNN,0.6573529411764706,0.95,0.6573529411764706,0.6119985764289376,0.9358723884430221,0.6119985764289376,0.5461077273436719,0.955004440176854,0.5461077273436719,0.5745752778101944,0.94394546901355,0.5745752778101944,0.04045231575642698,0.03191925607078377,0.04045231575642698,0.07379381020777545,0.049730292957372586,0.07379381020777545,0.06060840832659248,0.05006349291248128,0.06060840832659248,0.052396837020584876,0.03385563654498349,0.052396837020584876
ecoli,Neural Network,0.925,0.95,0.9470588235294117,0.9088089688089689,0.9358723884430221,0.927992057982357,0.9164811965093074,0.955004440176854,0.9524533114619322,0.9114248330080181,0.94394546901355,0.9392656330135027,0.035653130482290546,0.03191925607078377,0.025186730546402202,0.059885131959322525,0.049730292957372586,0.039147284775205266,0.05294030363452625,0.05006349291248128,0.038923311393056347,0.04514006514180246,0.03385563654498349,0.026427216835386826
ecoli,Random Forest,0.9632352941176471,0.95,0.9647058823529411,0.9635107884654165,0.9358723884430221,0.9579358672350283,0.9526413992362268,0.955004440176854,0.9622449781285989,0.9576651681987436,0.94394546901355,0.9595931818161706,0.0261693094412532,0.03191925607078377,0.022140372138502395,0.025838379412162073,0.049730292957372586,0.028624823396354596,0.04246940753335654,0.05006349291248128,0.03756937380031159,0.029696030656072656,0.03385563654498349,0.02445704407883862
ecoli,SVM,0.5705882352941176,0.95,0.875,0.34541666666666665,0.9358723884430221,0.8973348908528929,0.18416423306228405,0.955004440176854,0.7978191298665437,0.23374588795667467,0.94394546901355,0.829933589317376,0.06960093862470135,0.03191925607078377,0.15144599711544515,0.24375120282719512,0.049730292957372586,0.10568513681126802,0.15079252600443807,0.05006349291248128,0.2752493977408027,0.18446541636489105,0.03385563654498349,0.21547505275005105
kidney,KNN,0.89125,0.62,0.89125,0.9679110334110334,0.614803229470951,0.9679110334110334,0.8481655955403504,1.0,0.8481655955403504,0.9036212133091484,0.7600699869421854,0.9036212133091484,0.02128673295740804,0.058094750193111264,0.02128673295740804,0.02116789239721422,0.05807382564816342,0.02116789239721422,0.0345588049735639,0.0,0.0345588049735639,0.020730157803214768,0.04294587094540648,0.020730157803214768
kidney,Neural Network,0.9525,0.62,0.9550000000000001,0.9587514593023382,0.614803229470951,0.957106841087267,0.9626510562952856,1.0,0.968921959305319,0.9605164147775287,0.7600699869421854,0.9627731212651621,0.026874192494328507,0.058094750193111264,0.022973414586817058,0.01866804424107494,0.05807382564816342,0.021742931656359245,0.03168167023349566,0.0,0.025841157022552377,0.022039721300221197,0.04294587094540648,0.018696215237068336
kidney,Random Forest,1.0,0.62,0.99875,1.0,0.614803229470951,0.997872340425532,1.0,1.0,1.0,1.0,0.7600699869421854,0.9989247311827956,0.0,0.058094750193111264,0.003952847075210495,0.0,0.05807382564816342,0.006728250340783786,0.0,0.0,0.0,0.0,0.04294587094540648,0.0034002985593208513
kidney,SVM,0.91375,0.62,0.93125,0.9583805844462352,0.614803229470951,0.9460777076573997,0.8965664238417222,1.0,0.9397276244581727,0.9260227076803357,0.7600699869421854,0.9426827654504202,0.02598744354918774,0.058094750193111264,0.015866193970549777,0.01683505827658885,0.05807382564816342,0.016146287953105676,0.038847716561572355,0.0,0.024367550470696293,0.023576127683230124,0.04294587094540648,0.014635414199088698
parkison,KNN,0.7269736842105263,0.6868421052631579,0.7269736842105263,0.7869646721022966,0.8149782627270928,0.7869646721022966,0.8676945011158044,0.7897023983057869,0.8676945011158044,0.82449078598097,0.7735031369371183,0.82449078598097,0.033149597495243356,0.08517132806674871,0.033149597495243356,0.03360297757984053,0.08573633286387226,0.03360297757984053,0.04214989165073448,0.22956243638004173,0.04214989165073448,0.02495658594574472,0.10592242047526847,0.02495658594574472
parkison,Neural Network,0.49934210526315786,0.6868421052631579,0.49934210526315786,0.7100595274708,0.8149782627270928,0.7100595274708,0.514615987460815,0.7897023983057869,0.514615987460815,0.44940223028824944,0.7735031369371183,0.44940223028824944,0.24989321357374308,0.08517132806674871,0.24989321357374308,0.2754020934358235,0.08573633286387226,0.2754020934358235,0.5125852963577789,0.22956243638004173,0.5125852963577789,0.42196274014324175,0.10592242047526847,0.42196274014324175
parkison,Random Forest,0.8710526315789474,0.6868421052631579,0.8592105263157894,0.8709903726616602,0.8149782627270928,0.8626468066585564,0.9698548669936432,0.7897023983057869,0.9676541938846714,0.9174083905010104,0.7735031369371183,0.9107369147162974,0.030259979492386558,0.08517132806674871,0.038261102609762065,0.035785599999852216,0.08573633286387226,0.053189570666738246,0.009345149730687525,0.22956243638004173,0.02630284775267533,0.02084465005547411,0.10592242047526847,0.02399777755582176
parkison,SVM,0.7414473684210525,0.6868421052631579,0.7401315789473684,0.7562622052110824,0.8149782627270928,0.7523572744473992,0.9618250095572591,0.7897023983057869,0.9712172757585021,0.8460795325459454,0.7735031369371183,0.8467547586210891,0.0317869005774794,0.08517132806674871,0.03314959749524333,0.03534787440409037,0.08573633286387226,0.038891220959991125,0.02963184152933858,0.22956243638004173,0.03726286360104209,0.023232550588541605,0.10592242047526847,0.022616811676847752
